Date,Open,High,Low,Close,Volume
2007-05-04,13243.1,13284.5,13228.8,13264.6,236285967
2007-05-07,13264.1,13317.7,13260.8,13313,206163027
2007-05-08,13309.4,13314.4,13237.5,13309.1,225660439
2007-05-09,13300.6,13369.3,13278.3,13362.9,236954582
2007-05-10,13359,13359.1,13210.9,13215.1,224680029
2007-05-11,13212.2,13333.5,13212,13326.2,257744236
2007-05-14,13325.8,13383.8,13297,13346.8,199549906
2007-05-15,13346,13481.6,13339.5,13383.8,265271317
2007-05-16,13374.1,13489.6,13363.9,13487.5,237821099
2007-05-17,13487,13516.7,13447.8,13476.7,195801842
2007-05-18,13476.4,13558.5,13476.4,13556.5,282953016
2007-05-21,13556.5,13586,13529.1,13542.9,215613158
2007-05-22,13545,13586.7,13529,13540,201365760
2007-05-23,13540.8,13609.8,13505.2,13525.7,208315151
2007-05-24,13522.6,13624.5,13423.9,13441.1,240749439
2007-05-25,13441.9,13516.1,13440.1,13507.3,183436237
2007-05-29,13507.3,13564.7,13465.3,13521.3,205590983
2007-05-30,13517.9,13636.1,13456.7,13633.1,224847495
2007-05-31,13633,13673.1,13614.7,13627.6,243544958
2007-06-01,13628.7,13692,13624.4,13668.1,212782583
2007-06-04,13667.2,13690.4,13618.8,13676.3,177812270
2007-06-05,13673.2,13673.5,13551,13595.5,223051175
2007-06-06,13590.7,13591.1,13437.3,13465.7,236882282
2007-06-07,13463.5,13480.2,13259.8,13266.7,298872231
2007-06-08,13267.1,13431.2,13251.5,13424.4,242011639
2007-06-11,13423.7,13478.1,13381.6,13425,183373718
2007-06-12,13424.4,13449.5,13294.6,13295,233338425
2007-06-13,13287.6,13485.1,13287.6,13482.3,253132964
2007-06-14,13482.4,13581.6,13479.3,13553.7,228761741
2007-06-15,13556.7,13688.7,13556.5,13639.5,425138483
2007-06-18,13639,13667.9,13608.8,13613,174400762
2007-06-19,13611.7,13652.2,13577.2,13635.4,233772213
2007-06-20,13636.5,13674.4,13483.2,13489.4,274602016
2007-06-21,13486.7,13564.2,13398.9,13545.8,241266142
2007-06-22,13545,13545.1,13359.7,13360.2,380960644
2007-06-25,13360.1,13488.8,13299.8,13352,251761973
2007-06-26,13352.4,13452.5,13308.7,13337.7,241033397
2007-06-27,13336.9,13433,13259.9,13427.7,246082128
2007-06-28,13427.5,13498.3,13389.3,13422.3,207054476
2007-06-29,13422.6,13524.5,13314,13408.6,262059452
2007-07-02,13409.6,13537.9,13409.5,13535.4,196429079
2007-07-03,13531.5,13591.7,13531.5,13577.3,111651840
2007-07-05,13576.2,13580,13513.5,13565.8,188818503
2007-07-06,13559,13633.6,13538,13611.7,175985796
2007-07-09,13612.7,13670.5,13609,13650,192765951
2007-07-10,13648.6,13649.2,13496.2,13501.7,274430154
2007-07-11,13500.4,13591,13474.8,13577.9,224386902
2007-07-12,13579.3,13869.9,13579.2,13861.7,300515700
2007-07-13,13859.9,13932.3,13845.9,13907.2,223786909
2007-07-16,13907.1,13989.1,13895,13951,209057375
2007-07-17,13952,14022,13942.8,13971.5,266005131
2007-07-18,13955,13965.9,13823.6,13918.2,324398324
2007-07-19,13918.8,14015.8,13918.8,14000.4,265479172
2007-07-20,14000.7,14009.3,13797.7,13851.1,377591129
2007-07-23,13851.7,13974,13851.7,13943.4,237407033
2007-07-24,13940.9,13941,13701.6,13717,297048215
2007-07-25,13718.2,13822.2,13674.8,13785.1,266916150
2007-07-26,13783.1,13783.5,13335.3,13473.6,426863136
2007-07-27,13472.7,13520.8,13265.5,13265.5,337062608
2007-07-30,13266.2,13397.7,13219.1,13358.3,295428183
2007-07-31,13360.7,13498.5,13199.8,13212,319900698
2007-08-01,13211.1,13393,13132.7,13362.4,355922275
2007-08-02,13357.8,13503.3,13350.4,13463.3,264841604
2007-08-03,13462.2,13471.8,13175.2,13181.9,301792276
2007-08-06,13183.1,13470.2,13158.6,13468.8,311900704
2007-08-07,13467.7,13608.1,13347.2,13504.3,273373101
2007-08-08,13497.2,13695.8,13484.8,13657.9,288124821
2007-08-09,13652.3,13652.3,13270.7,13270.7,362518210
2007-08-10,13270.6,13306.5,13057.9,13239.5,338624599
2007-08-13,13238.2,13338.2,13219.5,13236.5,215214039
2007-08-14,13235.7,13269.8,13018.3,13028.9,269190766
2007-08-15,13021.9,13116.6,12836,12861.5,272664589
2007-08-16,12859.5,12885.8,12517.9,12845.8,457210207
2007-08-17,12848,13167.7,12847.8,13079.1,424026055
2007-08-20,13078.5,13181.7,12982.8,13121.3,231814180
2007-08-21,13120,13178.3,13052.2,13090.9,204093700
2007-08-22,13088.2,13246.4,13088.2,13236.1,205432594
2007-08-23,13237.3,13298.6,13169.2,13235.9,198203015
2007-08-24,13231.8,13381.5,13208.7,13378.9,186145819
2007-08-27,13377.2,13387.3,13305.5,13322.1,152511696
2007-08-28,13318.4,13318.6,13034.8,13041.8,230524572
2007-08-29,13043.1,13293.4,13043.1,13289.3,227424755
2007-08-30,13287.9,13315.1,13184.6,13238.7,193288060
2007-08-31,13240.8,13429,13240.8,13357.7,234924218
2007-09-04,13358.4,13494,13317.5,13448.9,262342004
2007-09-05,13442.8,13443.2,13248.2,13305.5,231949288
2007-09-06,13306.4,13398.7,13274.8,13363.3,203523297
2007-09-07,13360.7,13360.8,13082.2,13113.4,238355566
2007-09-10,13116.4,13207.2,13021.9,13127.8,221684479
2007-09-11,13129.4,13326,13129.2,13308.4,200104435
2007-09-12,13298.3,13360,13263,13291.7,195269873
2007-09-13,13292.4,13469.3,13292.4,13424.9,209901769
2007-09-14,13421.4,13459.8,13323.8,13442.5,204738186
2007-09-17,13442,13451.5,13362.4,13403.4,169745994
2007-09-18,13403.2,13740,13403.2,13739.4,277553590
2007-09-19,13740.6,13867.5,13739.9,13815.5,276636705
2007-09-20,13813.5,13822.1,13741,13766.7,200959459
2007-09-21,13768.3,13877.2,13768.2,13820.2,419415838
2007-09-24,13821.6,13874.4,13750.9,13759,236769280
2007-09-25,13757.8,13787.2,13696.3,13778.7,213134225
2007-09-26,13779.3,13915.8,13779.3,13878.2,206584194
2007-09-27,13879.5,13920.4,13868.2,13912.9,156903081
2007-09-28,13912.9,13924.8,13850.3,13895.6,203053885
2007-10-01,13895.7,14115.5,13893.5,14087.5,205731894
2007-10-02,14087.1,14107.5,14012.1,14047.3,169362038
2007-10-03,14038.9,14038.9,13947.7,13968,178883734
2007-10-04,13967.9,14010.4,13951.6,13974.3,143235046
2007-10-05,13969.1,14124.5,13968.8,14066,183596301
2007-10-08,14065.4,14068,14009.7,14043.7,116415350
2007-10-09,14043.7,14167,14034.4,14164.5,176744037
2007-10-10,14165,14165,14009.5,14078.7,163256246
2007-10-11,14079.1,14198.1,13950.2,14015.1,235137349
2007-10-12,14016.3,14101.8,14013.7,14093.1,178815613
2007-10-15,14092.4,14118.5,13904.3,13984.8,220550713
2007-10-16,13986.3,13992,13877.9,13912.9,229916517
2007-10-17,13920.7,14012.8,13774.7,13892.5,315411668
2007-10-18,13887.9,13913.8,13820.3,13889,205548574
2007-10-19,13888.5,13888.5,13511.9,13522,332322392
2007-10-22,13521.6,13587.2,13407.5,13567,229469308
2007-10-23,13568.9,13684.6,13540.9,13676.2,206639224
2007-10-24,13675.6,13690.5,13470.2,13675.2,259111499
2007-10-25,13677.8,13741.2,13547.6,13671.9,274307439
2007-10-26,13675.7,13811.2,13675.2,13806.7,311426730
2007-10-29,13807.3,13901.4,13805.3,13870.2,207902030
2007-10-30,13869,13869.3,13778.4,13792.5,189799887
2007-10-31,13792,13962.5,13767.7,13930,277747250
2007-11-01,13924.2,13924.2,13548.9,13567.9,335607545
2007-11-02,13569.9,13632.9,13446,13595.1,279810099
2007-11-05,13592.6,13618.3,13446.9,13543.4,259534134
2007-11-06,13542.3,13669.7,13511.9,13660.9,252307584
2007-11-07,13646.7,13647.3,13287.6,13300,273068164
2007-11-08,13299.7,13354,13080.3,13266.3,403738667
2007-11-09,13261.2,13262.1,13017.4,13042.7,356767984
2007-11-12,13039.2,13162.3,12981,12987.5,292045473
2007-11-13,12975.1,13318.6,12975.1,13307.1,298166513
2007-11-14,13305.5,13367.2,13197.8,13231,267429997
2007-11-15,13230.7,13260.3,13055.8,13110,242544235
2007-11-16,13109.5,13211.2,13051.6,13176.8,314939061
2007-11-19,13176.3,13176.3,12937.6,12958.4,285846582
2007-11-20,12955.9,13107.4,12839.7,13010.1,325893735
2007-11-21,13006.7,13007.7,12786.5,12799,284573175
2007-11-23,12796.1,12980.9,12796.1,12980.9,122243823
2007-11-26,12980,13037.3,12724.1,12743.4,265636103
2007-11-27,12744.8,12991.8,12744.8,12958.4,295985077
2007-11-28,12958,13325.9,12958,13289.5,310107670
2007-11-29,13287.9,13346.3,13214.8,13311.7,201499433
2007-11-30,13314.2,13467,13281.7,13371.7,312592085
2007-12-03,13368.2,13407.2,13296.3,13314.6,212190900
2007-12-04,13311.2,13316.3,13237.6,13248.7,204868297
2007-12-05,13244,13459,13244,13445,256873345
2007-12-06,13445.8,13631.6,13426.2,13619.9,197246517
2007-12-07,13618.3,13668.1,13601.4,13625.6,179343617
2007-12-10,13623.5,13754,13623.5,13727,190196698
2007-12-11,13726.9,13780.1,13414.6,13432.8,280597489
2007-12-12,13434.8,13704.5,13321.6,13473.9,310564514
2007-12-13,13474,13527.6,13353.9,13518,248712153
2007-12-14,13515.1,13515.4,13332.1,13339.8,245556675
2007-12-17,13339.2,13339.5,13158.4,13167.2,243423994
2007-12-18,13168.7,13279.5,13092,13232.5,232980876
2007-12-19,13232,13300.3,13146.8,13207.3,208297434
2007-12-20,13206.5,13288.4,13153.6,13245.6,203880432
2007-12-21,13241.7,13474,13241.6,13450.7,430659635
2007-12-24,13450.7,13563,13449.3,13549.3,86399776
2007-12-26,13548,13563.3,13492.7,13551.7,122366747
2007-12-27,13549.2,13551,13349.5,13359.6,145839710
2007-12-28,13361.2,13451.4,13298.2,13365.9,142976208
2007-12-31,13364.2,13364.7,13246.5,13264.8,167240291
2008-01-02,13261.8,13279.5,12991.4,13044,239577589
2008-01-03,13044.1,13137.9,13023.5,13056.7,200558319
2008-01-04,13046.5,13046.7,12789,12800.2,304178718
2008-01-07,12801.2,12884.2,12733.8,12827.5,306792903
2008-01-08,12820.9,12906.4,12567.5,12589.1,322694023
2008-01-09,12590.2,12737.2,12502.3,12735.3,332815834
2008-01-10,12733.1,12931.3,12632.2,12853.1,325292255
2008-01-11,12850.7,12851.1,12543.9,12606.3,301975631
2008-01-14,12613.8,12794.6,12613.7,12778.2,245304746
